WARNING:tensorflow:5 out of the last 5 calls to <function NeuralNetwork.call at 0x137d725e0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function NeuralNetwork.call at 0x137e169d0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
episode: 0 episode reward: -368.8467274003094 epsilon: 0.989901 avg reward (last 25): -368.8467274003094 episode loss:  44.585915
episode: 25 episode reward: -438.01071898828775 epsilon: 0.9874292149274797 avg reward (last 25): -218.32434953098422 episode loss:  130.39355
episode: 50 episode reward: -61.56376509168568 epsilon: 0.9849636019079675 avg reward (last 25): -213.4274891160222 episode loss:  166.30565
episode: 75 episode reward: -160.3653967847107 epsilon: 0.9825041455298329 avg reward (last 25): -192.98732135830983 episode loss:  151.84251
episode: 100 episode reward: -272.06070635274074 epsilon: 0.980050830419928 avg reward (last 25): -182.01925979316718 episode loss:  116.23366
episode: 125 episode reward: -2.6905585016064038 epsilon: 0.9776036412434921 avg reward (last 25): -170.59975769174764 episode loss:  124.76807
episode: 150 episode reward: 17.547488145391583 epsilon: 0.9751625627040549 avg reward (last 25): -156.65068760720595 episode loss:  119.76475
episode: 175 episode reward: -310.4661605892002 epsilon: 0.9727275795433421 avg reward (last 25): -171.98937084309253 episode loss:  164.57304
episode: 200 episode reward: -97.2554491219623 epsilon: 0.9702986765411791 avg reward (last 25): -188.5168300391829 episode loss:  112.7229
episode: 225 episode reward: -345.06857273875517 epsilon: 0.9678758385153959 avg reward (last 25): -196.60411655221554 episode loss:  119.40564
episode: 250 episode reward: -112.31933973568283 epsilon: 0.9654590503217328 avg reward (last 25): -192.64122033511075 episode loss:  120.65378
episode: 275 episode reward: -80.6551384317608 epsilon: 0.9630482968537447 avg reward (last 25): -184.55684285375656 episode loss:  114.16706
episode: 300 episode reward: -238.74382988774698 epsilon: 0.960643563042708 avg reward (last 25): -173.0512008356526 episode loss:  136.37595
episode: 325 episode reward: -209.01114581772768 epsilon: 0.9582448338575251 avg reward (last 25): -169.20236392696307 episode loss:  88.2142
episode: 350 episode reward: -105.55924039242872 epsilon: 0.9558520943046319 avg reward (last 25): -171.91228090033258 episode loss:  124.643326
episode: 375 episode reward: -133.59392361773507 epsilon: 0.9534653294279022 avg reward (last 25): -160.41874001532884 episode loss:  174.87459
episode: 400 episode reward: -127.77613038514806 epsilon: 0.9510845243085565 avg reward (last 25): -159.30030476137867 episode loss:  134.75923
episode: 425 episode reward: -152.52257967333543 epsilon: 0.9487096640650665 avg reward (last 25): -155.8826887857348 episode loss:  93.58677
episode: 450 episode reward: -82.72595225692817 epsilon: 0.9463407338530638 avg reward (last 25): -160.8695196755931 episode loss:  153.8018
episode: 475 episode reward: -74.4293656548748 epsilon: 0.943977718865246 avg reward (last 25): -172.93897141315625 episode loss:  111.987335
episode: 500 episode reward: -167.18634579141815 epsilon: 0.9416206043312847 avg reward (last 25): -177.04778911708934 episode loss:  161.19836
episode: 525 episode reward: -158.16525351441197 epsilon: 0.9392693755177329 avg reward (last 25): -179.37041272617498 episode loss:  107.50891
episode: 550 episode reward: -72.77008869819332 epsilon: 0.9369240177279338 avg reward (last 25): -172.69042117152546 episode loss:  112.31737
episode: 575 episode reward: -94.61590051722877 epsilon: 0.934584516301927 avg reward (last 25): -163.54713556253407 episode loss:  120.34346
episode: 600 episode reward: -132.00469025481803 epsilon: 0.9322508566163586 avg reward (last 25): -157.75865883052916 episode loss:  128.64069
episode: 625 episode reward: -425.33962569292174 epsilon: 0.92992302408439 avg reward (last 25): -152.075697379284 episode loss:  85.6519
episode: 650 episode reward: -156.480551136328 epsilon: 0.9276010041556046 avg reward (last 25): -152.7508031664846 episode loss:  117.01279
episode: 675 episode reward: -230.17986161525963 epsilon: 0.9252847823159189 avg reward (last 25): -164.15942088010868 episode loss:  93.40047
episode: 700 episode reward: -196.1725200825398 epsilon: 0.9229743440874912 avg reward (last 25): -173.68966323590243 episode loss:  114.92754
episode: 725 episode reward: -242.94761571270678 epsilon: 0.9206696750286308 avg reward (last 25): -175.47800736818934 episode loss:  117.39124
episode: 750 episode reward: -128.20599698402668 epsilon: 0.9183707607337083 avg reward (last 25): -171.9094771092529 episode loss:  113.70158
episode: 775 episode reward: -205.01924879736086 epsilon: 0.9160775868330652 avg reward (last 25): -178.2877424203075 episode loss:  121.85267
episode: 800 episode reward: -269.93237128043813 epsilon: 0.913790138992923 avg reward (last 25): -171.87722770327414 episode loss:  134.72043
episode: 825 episode reward: -195.05977728957467 epsilon: 0.9115084029152961 avg reward (last 25): -174.69972230864306 episode loss:  100.47003
episode: 850 episode reward: -98.66054499025641 epsilon: 0.9092323643378999 avg reward (last 25): -167.6595613342053 episode loss:  124.08701
episode: 875 episode reward: -277.8563924251405 epsilon: 0.9069620090340638 avg reward (last 25): -156.0603257515968 episode loss:  109.639084
episode: 900 episode reward: -197.03056880145235 epsilon: 0.9046973228126401 avg reward (last 25): -158.91684059054705 episode loss:  109.285706
episode: 925 episode reward: -338.60702733446294 epsilon: 0.9024382915179172 avg reward (last 25): -163.2895511834092 episode loss:  127.145775
episode: 950 episode reward: -23.924715414347247 epsilon: 0.9001849010295303 avg reward (last 25): -164.33020665635922 episode loss:  143.43774
episode: 975 episode reward: -232.50833084879514 epsilon: 0.8979371372623728 avg reward (last 25): -167.0660257849032 episode loss:  110.638176
episode: 1000 episode reward: -182.72441543171018 epsilon: 0.8956949861665088 avg reward (last 25): -165.8370725797957 episode loss:  101.94737
episode: 1025 episode reward: -273.3896620460447 epsilon: 0.8934584337270853 avg reward (last 25): -163.39060569583376 episode loss:  158.30832
episode: 1050 episode reward: -188.32605473630957 epsilon: 0.8912274659642445 avg reward (last 25): -154.55806897574976 episode loss:  92.19782
episode: 1075 episode reward: -279.75171701563437 epsilon: 0.8890020689330353 avg reward (last 25): -163.0695559883975 episode loss:  108.06476
episode: 1100 episode reward: -6.389706278452195 epsilon: 0.8867822287233291 avg reward (last 25): -157.46212047588995 episode loss:  102.998985
episode: 1125 episode reward: -108.67896367007761 epsilon: 0.8845679314597295 avg reward (last 25): -152.06525722544725 episode loss:  123.415565
episode: 1150 episode reward: -108.01995403334405 epsilon: 0.8823591633014869 avg reward (last 25): -160.97830629661559 episode loss:  103.551216
episode: 1175 episode reward: -276.5180409794129 epsilon: 0.8801559104424131 avg reward (last 25): -155.06300064395168 episode loss:  117.266014
episode: 1200 episode reward: -101.7845375388822 epsilon: 0.877958159110793 avg reward (last 25): -156.03312553392146 episode loss:  131.2005
